Code	From	Until	Before	After	Description	Wikipedia
euro	2002-01-01	2002-01-01	P180D	P30D	Einführung des Euro	Euro
wolympics2002	2002-02-08	2002-02-24	P60D	P14D	Olympische Winterspiele 2002	Olympische_Winterspiele_2002
election2002	2002-09-22	2002-09-22	P180D	P30D	Bundestagswahl 2002	Bundestagswahl_2002
iraq	2003-03-20	2013-05-31	P180D	P180D	Irakkrieg	Irakkrieg, Begründung_für_den_Irakkrieg
solympics2004	2004-08-13	2004-08-29	P60D	P14D	Olypische Sommerspiele 2004	Olympische_Sommerspiele_2004
pope2005	2005-04-02	2005-04-19	P0D	P30D	Tod von Papst Johannes Paul II, Wahl von Papst Benedikt	Johannes_Paul_II., Benedikt_XVI., Konklave_2005
election2005	2005-09-18	2005-09-18	P180D	P30D	Bundestagswahl 2005	Bundestagswahl_2005
wolympics2006	2006-02-10	2006-02-26	P60D	P14D	Olympische Winterspiele 2006	Olympische_Winterspiele_2006
worldcup2006	2006-06-09	2006-07-09	P60D	P14D	Fußball-Weltmeisterschaft 2006	Fußball-Weltmeisterschaft_2006
solympics2008	2008-08-08	2008-08-24	P60D	P14D	Olypische Sommerspiele 2008	Olympische_Sommerspiele_2008
lhc	2008-09-10	2008-09-10	P30D	P30D	Inbetriebnahme des LHC	Large_Hadron_Collider
election2009	2009-09-27	2009-09-27	P180D	P30D	Bundestagswahl 2009	Bundestagswahl_2009
wolympics2010	2010-02-12	2010-02-28	P60D	P14D	Olympische Winterspiele 2010	Olympische_Winterspiele_2010
vulcano	2010-03-20	2010-04-15	P0D	P30D	Ausbruch des Vulkan Eyjafjallajökull	Ausbruch_des_Eyjafjallajökull_2010
eurovision	2010-05-01	2010-05-31	P30D	P14D	Sieg von Lena Meyer-Landrut beim Eurovision Song Contest 2010	Eurovision_Song_Contest_2010
worldcup2010	2010-06-11	2010-07-11	P60D	P14D	Fußball-Weltmeisterschaft 2010	Fußball-Weltmeisterschaft_2010
loveparade	2010-07-24	2010-07-24	P0D	P30D	Unglück bei der Loveparade	Unglück_bei_der_Loveparade_2010
sarrazin	2010-01-01	2010-12-31	P0D	P90D	Buch von Thilo Sarrazin	Deutschland_schafft_sich_ab
nsu	2011-01-01	2012-09-30	P0D	P730D	NSU	NSU-Morde, Nationalsozialistischer_Untergrund, Untersuchungsausschuss_zur_Terrorgruppe_Nationalsozialistischer_Untergrund, NSU-Prozess
guttenberg	2011-02-12	2011-10-31	P0D	P30D	Guttenberg	Plagiatsaffäre_Guttenberg
fukushima	2011-03-11	2011-03-11	P0D	P180D	Fukushima	Nuklearkatastrophe_von_Fukushima
wulff	2011-12-01	2012-02-12	P0D	P90D	Rücktritt Christian Wulff	Wulff-Affäre
stuttgart	2011-01-01	2011-12-31	P30D	P90D	Protest gegen Stuttgart 21	Protest_gegen_Stuttgart_21
costa	2012-01-13	2012-01-13	P0D	P30D	Leck des Kreuzfahrschiffs Costa Concordia	Costa_Concordia
solympics2012	2012-06-25	2012-08-12	P60D	P14D	Olypische Sommerspiele 2012	Olympische_Sommerspiele_2012
esm	2012-09-27	2012-09-27	P90D	P90D	Europäischer Stabilitätsmechanismus	Europäischer_Stabilitätsmechanismus
pope2013	2013-02-28	2013-03-15	P0D	P30D	Papstwechsel (Benedikt → Franziskus)	Franziskus_(Papst), Konklave_2013, Benedikt_XVI.
flood	2013-05-01	2013-06-30	P14D	P30D	Hochwasser 2013	Hochwasser_in_Mitteleuropa_2013
snowden	2013-06-01	2013-06-30	P0D	P730D	Edward Snowden	Edward_Snowden, Globale_Überwachungs-_und_Spionageaffäre
election2013	2013-09-22	2013-09-22	P180D	P30D	Bundestagswahl 2013	Bundestagswahl_2013
wolympics2014	2014-02-07	2014-02-23	P60D	P14D	Olympische Winterspiele 2014	Olympische_Winterspiele_2014
worldcup2014	2014-06-12	2014-07-13	P60D	P14D	Fußball-Weltmeisterschaft 2014	Fußball-Weltmeisterschaft_2014, Finale_der_Fußball-Weltmeisterschaft_2014
